Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Score,Interpretation
b,c,b,b,a,2.0,3,2,3,3,9,C
a,b,a,a,a,1.0,&,1,&,é,6,C
c,c,c,c,b,1.0,1,1,1,1,13,B
b,b,b,b,a,2.0,é,é,2,3,3,C
b,c,b,c,a,3.0,"""",1,"""",2,8,C
c,c,b,b,a,3.0,3,2,1,3,12,B
c,b,b,c,a,2.0,1,,1,2,7,C
c,b,b,a,a,1.0,1,1,1,1,9,C
c,b,,c,a,1.0,&,3,é,2,8,C
c,b,b,a,,,3,2,1,2,6,C
b,b,b,c,c,1,1,2,3,3,10,B
