Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Score,Interpretation
c,c,c,a,a,é,3,1,3,1,14,B
b,c,a,a,a,1,1,2,1,3,10,B
b,c,a,c,b,3,2,1,1,2,9,C
B,C,C,C,D,1,2,2,2,1,2,C
A,A,B,C,B,1,2,1,1,1,4,C
C,C,C,A,B,3,2,1,1,2,4,C
B,B,B,B,B,2,2,2,2,2,0,C
C,C,C,C,C,C,2,2,2,2,0,C
C,C,C,C,B,3,3,3,1,1,8,C
A,A,A,A,A,A,A,1,1,1,3,C
