Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Score,Interpretation
a,c,a,a,c,3,2,2,1.0,3,12,B
c,b,a,b,c,3,2,1,1.0,2,9,C
b,a,a,a,a,a,2,3,2.0,2,7,C
C,c,c,c,c,1,1,1,1.0,1,13,B
A,,c,b,,3,2,1,3.0,2,7,C
b,b,a,a,b,2,1,1,3.0,3,8,C
C,,,1,,3,2,1,,3,6,C
c,b,a,c,b,1,2,3,1.0,1,10,B
c,,a,c,b,2,1,1,1.0,1,9,C
B,a,a,a,a,a,a,a,a,a,9,C
